Country,Region,Rank_2015,Score_2015,GDP_2015,Family_2015,Health_2015,Freedom_2015,Corruption_2015,Generosity_2015,Dystopia_2015,Rank_2019,Score_2019,GDP_2019,Social_2019,Health_2019,Freedom_2019,Corruption_2019,Generosity_2019,Score_Diff,GDP_Diff,Rank_Diff
Switzerland,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,-0.10699999999999932,0.05549000000000004,-5
Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,-0.06700000000000017,0.07767999999999997,-2
Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,0.07299999999999951,0.057520000000000016,1
Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,0.03200000000000003,0.028999999999999915,1
Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,-0.14900000000000002,0.03871000000000002,-4
Finland,Western Europe,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,0.36300000000000043,0.04975000000000018,5
Netherlands,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,0.11000000000000032,0.06655999999999995,2
Sweden,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,-0.020999999999999908,0.05529000000000006,1
New Zealand,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,0.021000000000000796,0.05281999999999987,1
Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,-0.05600000000000005,0.03842000000000012,-1
Israel,Middle East and Northern Africa,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,-0.13899999999999935,0.04743000000000008,-2
Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,-0.05900000000000016,0.07822000000000007,0
Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,0.04600000000000026,0.03876999999999997,3
Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,-0.5920000000000005,0.04946000000000006,-9
United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,-0.22699999999999942,0.038490000000000135,-4
Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,-0.6829999999999998,0.022760000000000002,-16
Luxembourg,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,0.14400000000000013,0.045090000000000074,3
Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,0.08099999999999952,0.16304000000000007,2
Belgium,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,-0.014000000000000234,0.04818000000000011,1
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,-0.07599999999999962,0.07572999999999985,-1
United Kingdom,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,0.18700000000000028,0.06662999999999997,6
Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064,-2.1029999999999998,-0.08424000000000009,-85
Singapore,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,-0.5360000000000005,0.05014000000000007,-10
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,-0.46499999999999986,0.08546999999999993,-6
Germany,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,0.23500000000000032,0.04508000000000001,9
Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,-0.22599999999999998,0.05184999999999995,1
Qatar,Middle East and Northern Africa,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,-0.2370000000000001,-0.006420000000000092,-1
France,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,0.01699999999999946,0.04622000000000015,5
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,-0.48799999999999955,0.038490000000000135,-17
Czech Republic,Central and Eastern Europe,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,0.3470000000000004,0.09001999999999999,11
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,-0.19200000000000017,0.06234000000000006,-1
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,-0.3520000000000003,0.06638999999999995,-10
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,-0.44700000000000006,0.08310000000000006,-18
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,-0.03599999999999959,0.007589999999999986,7
Spain,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,0.025000000000000355,0.055889999999999995,6
Malta,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,0.4240000000000004,0.09260000000000002,15
Taiwan,Eastern Asia,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,0.1479999999999997,0.07702000000000009,13
Kuwait,Middle East and Northern Africa,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,-0.274,-0.054219999999999935,-12
El Salvador,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,0.12300000000000022,0.02946000000000004,7
Guatemala,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,0.3129999999999997,0.05447000000000002,16
Uzbekistan,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322,0.17100000000000026,0.11256,3
Slovakia,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121,0.2030000000000003,0.0770900000000001,7
Japan,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,-0.10099999999999998,0.05625999999999998,-12
South Korea,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175,-0.08900000000000041,0.05638999999999994,-7
Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,0.052999999999999936,0.04798000000000002,-2
Bahrain,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,0.23899999999999988,0.03824000000000005,12
Italy,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,0.27499999999999947,0.04286000000000012,14
Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,-0.11099999999999977,0.09467000000000003,-10
Moldova,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,71,5.529,0.685,1.328,0.739,0.245,0.0,0.181,-0.3600000000000003,0.09052000000000004,-19
Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,-0.1349999999999998,0.09514999999999996,-10
Kazakhstan,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,-0.04600000000000026,0.05045999999999995,-6
Slovenia,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,0.27000000000000046,0.07302000000000008,11
Lithuania,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,0.31599999999999984,0.09077000000000002,14
Nicaragua,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,0.27700000000000014,0.1007499999999999,12
Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083,-0.12699999999999978,0.05980999999999992,-7
Belarus,Central and Eastern Europe,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,-0.4899999999999993,0.03508,-22
Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,0.391,0.08044999999999991,20
Malaysia,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26,-0.43099999999999916,0.09614000000000011,-19
Croatia,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,-0.32699999999999996,0.07245999999999997,-13
Libya,Middle East and Northern Africa,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133,-0.2289999999999992,-0.08745000000000003,-9
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082,-0.0680000000000005,0.04536000000000007,-4
Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,0.18100000000000005,0.02061999999999997,9
Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,0.3570000000000002,0.054869999999999974,18
Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,-0.39400000000000013,0.06271000000000004,-20
Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,0.5109999999999992,0.08052000000000004,23
Turkmenistan,Central and Eastern Europe,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244,-0.30100000000000016,0.09353,-17
Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,0.4109999999999996,0.11239000000000021,14
Hong Kong,Eastern Asia,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,-0.04400000000000048,0.051960000000000006,-4
Estonia,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,0.4639999999999995,0.08526000000000011,18
Indonesia,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,1.86399,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,-0.20699999999999985,0.1027300000000001,-18
